TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;08;10;21;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;22;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;23;;NA;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;24;;NA;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;25;;NA;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;26;;NA;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;27;;00;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;28;;00;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;29;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;30;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;31;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;32;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;33;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;34;00 08;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;1;10:34:08;34:08;58;10;35;06;35:06;unknown;small Diptera;;Diptera;NA;0;1;;;1;58;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;08;10;35;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;36;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;37;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;38;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;39;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;40;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;41;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;42;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;43;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;44;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;45;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;46;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;47;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;48;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;49;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;50;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;51;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;52;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;53;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;54;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;55;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;56;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;57;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;10;58;;;Gerara1_20191108_10_00;1;Geranium;arabicum;1;11;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
