TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;11;13;12;;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;11;13;13;;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;11;13;14;;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;11;13;15;;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;11;13;16;00 34;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:16:34;16:34;01;13;16;35;16:35;fly;Brachycera;;Diptera;NA;0;1;;;;;1;1;;;;;;;;;;;;;0;;0;
2019;Nov;11;13;16;00 36;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:16:36;16:36;31;13;17;07;17:07;fly;Brachycera;;Diptera;NA;0;1;;;1;31;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;16;00 39;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:16:39;16:39;10;13;16;49;16:49;fly;Brachycera;;Diptera;NA;0;1;;;1;10;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;17;00 18;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:17:18;17:18;23;13;17;41;17:41;fly;Brachycera;;Diptera;NA;0;1;;;1;23;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;17;00 39;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:17:39;17:39;02;13;17;41;17:41;fly;Brachycera;;Diptera;NA;0;1;;;1;2;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;17;00 50;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:17:50;17:50;02;13;17;52;17:52;fly;Brachycera;;Diptera;NA;0;1;;;1;2;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;18;00 07;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:18:07;18:07;91;13;19;38;19:38;fly;Brachycera;;Diptera;NA;0;1;;;1;91;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;19;00 15;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:19:15;19:15;25;13;19;40;19:40;fly;Brachycera;;Diptera;NA;0;1;;;1;25;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;19;00 40;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:19:40;19:40;36;13;20;16;20:16;fly;Brachycera;;Diptera;NA;0;1;;;1;36;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;19;00 44;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:19:44;19:44;15;13;19;59;19:59;fly;Brachycera;;Diptera;NA;0;1;;;1;15;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;19;00 53;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:19:53;19:53;58;13;20;51;20:51;fly;Brachycera;;Diptera;NA;0;1;;;1;58;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;19;00 56;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:19:56;19:56;88;13;21;24;21:24;fly;Brachycera;;Diptera;NA;0;1;;;1;88;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;20;00 19;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:20:19;20:19;110;13;22;09;22:09;fly;Brachycera;;Diptera;NA;0;1;;;1;110;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;11;13;20;00 57;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:20:57;20:57;98;13;22;35;22:35;fly;Brachycera;;Diptera;NA;0;1;;;1;98;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;21;00 50;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:21:50;21:50;72;13;23;02;23:02;fly;Brachycera;;Diptera;NA;0;1;;;1;72;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;22;00 55;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:22:55;22:55;187;13;26;02;26:02;fly;Brachycera;;Diptera;NA;0;1;;;1;187;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;11;13;23;;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;11;13;24;00 46;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:24:46;24:46;05;13;24;51;24:51;fly;Brachycera;;Diptera;NA;0;1;;;1;5;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;24;00 53;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:24:53;24:53;72;13;26;05;26:05;fly;Brachycera;;Diptera;NA;0;1;;;1;72;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;25;00 33;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:25:33;25:33;62;13;26;35;26:35;fly;Brachycera;;Diptera;NA;0;1;;;1;62;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;26;00 17;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:26:17;26:17;03;13;26;20;26:20;fly;Brachycera;;Diptera;NA;0;1;;;1;3;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;26;00 55;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:26:55;26:55;39;13;27;34;27:34;fly;Brachycera;;Diptera;NA;0;1;;;1;39;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;27;00 32;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:27:32;27:32;26;13;27;58;27:58;fly;Brachycera;;Diptera;NA;0;1;;;1;26;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;27;00 54;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:27:54;27:54;05;13;27;59;27:59;fly;Brachycera;;Diptera;NA;0;1;;;1;5;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;28;00 01;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:28:01;28:01;23;13;28;24;28:24;fly;Brachycera;;Diptera;NA;0;1;;;1;23;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;28;00 19;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:28:19;28:19;18;13;28;37;28:37;fly;Brachycera;;Diptera;NA;0;1;;;1;18;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;11;13;28;00 28;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:28:28;28:28;35;13;29;03;29:03;fly;Brachycera;;Diptera;NA;0;1;;;1;35;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;28;00 42;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:28:42;28:42;21;13;29;03;29:03;fly;Brachycera;;Diptera;NA;0;1;;;1;21;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;11;13;28;00 54;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:28:54;28:54;09;13;29;03;29:03;fly;Brachycera;;Diptera;NA;0;1;;;1;9;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;29;00 20;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:29:20;29:20;94;13;30;54;30:54;fly;Brachycera;;Diptera;NA;0;1;;;1;94;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;11;13;30;00 08;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:30:08;30:08;07;13;30;15;30:15;fly;Brachycera;;Diptera;NA;0;1;;;1;7;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;31;00 00;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:31:00;31:00;24;13;31;24;31:24;fly;Brachycera;;Diptera;NA;0;1;;;1;24;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;31;00 18;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:31:18;31:18;06;13;31;24;31:24;fly;Brachycera;;Diptera;NA;0;1;;;1;6;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;31;00 56;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:31:56;31:56;32;13;32;28;32:28;fly;Brachycera;;Diptera;NA;0;1;;;1;32;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;32;00 13;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:32:13;32:13;15;13;32;28;32:28;fly;Brachycera;;Diptera;NA;0;1;;;1;15;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;33;00 31;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:33:31;33:31;29;13;34;00;34:00;fly;Brachycera;;Diptera;NA;0;1;;;1;29;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;33;00 34;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:33:34;33:34;85;13;34;59;34:59;fly;Brachycera;;Diptera;NA;0;1;;;1;85;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;33;00 34;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:33:34;33:34;87;13;35;01;35:01;fly;Brachycera;;Diptera;NA;0;1;;;1;87;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;34;00 26;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;1;13:34:26;34:26;94;13;36;00;36:00;fly;Brachycera;;Diptera;NA;0;1;;;1;94;;;;;;;;;;;;;;;1;1;0;
2019;Nov;11;13;35;;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;11;13;36;;;Hyprev4_20191111_13_00;1;Hypericum;revolutum;4;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
