TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;15;10;44;;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;15;10;45;00 11;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:45:11;01:11;40;10;45;51;01:51;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;40;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;45;00 17;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:45:17;01:17;79;10;46;36;02:36;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;79;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;45;00 55;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:45:55;01:55;29;10;46;24;02:24;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;29;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;46;00 36;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:46:36;02:36;02;10;46;38;02:38;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;2;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;15;10;46;00 50;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:46:50;02:50;10;10;47;00;03:00;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;10;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;15;10;47;00 19;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:47:19;03:19;62;10;48;21;04:21;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;62;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;48;00 18;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:48:18;04:18;07;10;48;25;04:25;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;7;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;15;10;48;00 27;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:48:27;04:27;13;10;48;40;04:40;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;13;;;;;;;;;;;;;;;;;1;1;0;
2019;Nov;15;10;49;00 41;;HypRev06_20191115_10_44;1;Hypericum;revolutum;6;2;0;;1;10:49:41;05:41;36;10;50;17;06:17;Acalyptratae sp.;small Brachycera;;Diptera;NA;0;1;;;1;36;;;;;;;;;;;;;;;;;1;1;0;
