TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;13;09;09;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;Quite a lot of movement due to wind;;;;;;;
2019;Nov;13;09;10;00 06;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:10:06;10:06;14;09;10;20;10:20;Brachycera sp.;Anthomyia sp.02;yes;Diptera;NA;0;1;;;;;;;1;14;;;;;;;;;;;;;1;1;0;
2019;Nov;13;09;11;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;12;00 25;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:12:25;12:25;55;09;13;20;13:20;Brachycera sp.;Brachycera;;Diptera;NA;0;2;;;;;1;1;1;54;;;;;;;;;;;;;1;2;0;
2019;Nov;13;09;12;00 55;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:12:55;12:55;11;09;13;06;13:06;Brachycera sp.;Brachycera;;Diptera;NA;0;3;;;;;1;1;1;10;;;;;;;;;;;;;1;3;0;
2019;Nov;13;09;13;00 09;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:13:09;13:09;46;09;13;55;13:55;Brachycera sp.;Brachycera;;Diptera;NA;0;6;;;;;1;5;1;41;;;;;;;;;;;;;1;6;0;
2019;Nov;13;09;14;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;15;00 52;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:15:52;15:52;138;09;18;10;18:10;Brachycera sp.;Striped fly with ant;yes;Diptera;NA;0;2;;;;;1;1;1;137;;;;;;;;;;;;;1;2;0;
2019;Nov;13;09;16;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;17;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;18;00 07;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;1;09:18:07;18:07;03;09;18;10;18:10;Brachycera sp.;Grey fly with dots;yes;Diptera;NA;0;1;;;;;;;1;3;;;;;;;;;;;;;1;1;0;
2019;Nov;13;09;19;;;Senpur4_20191113_09_00;1;Senecio;purpureus;4;10;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
