TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;23;10;22;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;23;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;24;00 16;NA;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;1;10:24:16;24:16;100;10;25;56;25:56;Fly;Anthomyiidae;;Diptera;NA;0;2;;;;;;;;;1;100;;;;;blurry, so not sure I can distinguish anthers and stigma, might all be just visiting anthers…..;;;;1;2;1;2
2019;Nov;23;10;25;;NA;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;26;;NA;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;27;;NA;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;28;;00;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;29;00 21;00;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;1;10:29:21;29:21;184;10;32;25;32:25;Fly;Striped fly with ant;yes;Diptera;NA;0;2;;;;;;;;;1;184;;;;;;;;;1;2;1;2
2019;Nov;23;10;30;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;31;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;32;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;33;00 11;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;1;10:33:11;33:11;42;10;33;53;33:53;Fly;Striped fly with ant;yes;Diptera;NA;0;1;;;;;;;;;1;42;;;;;same fly returning?;;;;1;1;1;1
2019;Nov;23;10;34;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;35;00 04;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;1;10:35:04;35:04;06;10;35;10;35:10;Bee;small Apoidea;;Hymenoptera;NA;0;1;;;;;;;;;1;6;;;;;;;;;1;1;1;1
2019;Nov;23;10;36;00 34;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;1;10:36:34;36:34;33;10;37;07;37:07;Fly;Striped fly with ant;yes;Diptera;NA;0;1;;;;;;;;;1;33;;;;;;;;;1;1;1;1
2019;Nov;23;10;37;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;38;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;39;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;40;00 27;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;1;10:40:27;40:27;02;10;40;29;40:29;?Fly;Brachycera;;Diptera;NA;0;1;;;1;2;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;10;41;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;42;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;43;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;10;44;;;Lacine13_20191123_10_00;1;Lactuca;inermis;13;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
