elevation	plot	species	plant_number	treatment	seedset	comment
2300		Senecio p	1	autogamy	0	
2300		Senecio p	1	geitonogamy	0	
2300		Senecio p	1	autogamy	0	
2300		Senecio p	1	outcrossing	1	
2300		Senecio p	1	control	1	
2300		Senecio p	1	geitonogamy	2	
2300		Senecio p	1	control	2	
2300		Senecio p	1	control	3	
2300		Senecio p	1	outcrossing	32	
2300		Senecio p	1	outcrossing	34	
2300		Senecio p	10	autogamy	0	
2300		Senecio p	10	autogamy	3	
2300		Senecio p	10	outcrossing	6	
2300		Senecio p	10	outcrossing	13	
2300		Senecio p	10	geitonogamy	16	
2300		Senecio p	10	control	16	
2300		Senecio p	10	control	16	
2300		Senecio p	10	control	21	
2300		Senecio p	11	autogamy	1	
2300		Senecio p	11	geitonogamy	3	
2300		Senecio p	11	autogamy	4	
2300		Senecio p	11	outcrossing	17	
2300		Senecio p	12	autogamy	0	
2300		Senecio p	12	outcrossing	7	
2300		Senecio p	12	control	12	
2300		Senecio p	12	geitonogamy	21	
2300		Senecio p	13	autogamy	1	
2300		Senecio p	13	geitonogamy	7	
2300		Senecio p	13	control	33	
2300		Senecio p	13	outcrossing	36	
2300		Senecio p	14	autogamy	0	
2300		Senecio p	14	control	13	
2300		Senecio p	14	outcrossing	15	
2300		Senecio p	15	autogamy	0	
2300		Senecio p	15	autogamy	0	
2300		Senecio p	15	geitonogamy	2	
2300		Senecio p	15	control	4	
2300		Senecio p	15	outcrossing	26	
2300		Senecio p	15	outcrossing	27	
2300		Senecio p	16	autogamy	0	
2300		Senecio p	16	geitonogamy	4	
2300		Senecio p	16	control	5	
2300		Senecio p	16	outcrossing	29	
2300		Senecio p	17	autogamy	0	
2300		Senecio p	17	geitonogamy	1	
2300		Senecio p	17	control	3	
2300		Senecio p	17	control	4	
2300		Senecio p	17	outcrossing	31	
2300		Senecio p	2	autogamy	0	
2300		Senecio p	2	autogamy	0	
2300		Senecio p	2	autogamy	0	
2300		Senecio p	2	control	1	
2300		Senecio p	2	geitonogamy	1	
2300		Senecio p	2	geitonogamy	2	
2300		Senecio p	2	control	3	
2300		Senecio p	2	control	3	
2300		Senecio p	2	control	3	
2300		Senecio p	2	outcrossing	27	
2300		Senecio p	2	outcrossing	29	
2300		Senecio p	3	autogamy	2	
2300		Senecio p	3	control	16	
2300		Senecio p	3	outcrossing	17	
2300		Senecio p	4	autogamy	0	
2300		Senecio p	4	geitonogamy	1	
2300		Senecio p	4	geitonogamy	1	
2300		Senecio p	4	control	3	
2300		Senecio p	4	control	15	
2300		Senecio p	4	outcrossing	16	
2300		Senecio p	5	autogamy	0	
2300		Senecio p	5	outcrossing	0	
2300		Senecio p	50	geitonogamy	5	named 50, since it didn't have plant number
2300		Senecio p	6	geitonogamy	0	
2300		Senecio p	6	control	0	
2300		Senecio p	6	autogamy	0	
2300		Senecio p	6	autogamy	0	
2300		Senecio p	6	geitonogamy	0	
2300		Senecio p	6	outcrossing	2	
2300		Senecio p	7	autogamy	0	
2300		Senecio p	7	geitonogamy	1	
2300		Senecio p	7	control	16	
2300		Senecio p	7	control	29	
2300		Senecio p	8	autogamy	1	
2300		Senecio p	8	geitonogamy	12	
2300		Senecio p	8	control	22	
2300		Senecio p	8	control	26	
2300		Senecio p	9	autogamy	0	
2300		Senecio p	9	geitonogamy	0	
2300		Senecio p	9	autogamy	2	
2300		Senecio p	9	control	8	
2300		Senecio p	9	geitonogamy	8	
2300		Senecio p	9	control	13	
2300		Senecio p	9	outcrossing	19	
2300		Senecio p	9	control	22	
2300		Senecio p	9	outcrossing	31	
2800	1	Senecio p	1	autogamy	0	all small, check bag
2800	1	Senecio p	1	geitonogamy	0	5 almost, check bag
2800	1	Senecio p	1	geitonogamy	3	but smaller, 27 tiny
2800	1	Senecio p	1	outcrossing	22	
2800	1	Senecio p	1	control	32	
2800	4	Senecio p	10	autogamy	0	32 tiny
2800	4	Senecio p	10	control	0	
2800	4	Senecio p	10	geitonogamy	0	many tiny
2800	4	Senecio p	10	outcrossing	27	
2800	4	Senecio p	11	autogamy	0	
2800	4	Senecio p	11	geitonogamy	3	many tiny
2800	4	Senecio p	11	outcrossing	29	
2800	4	Senecio p	11	control	29	
2800	5	Senecio p	12	geitonogamy	0	22 thin green
2800	5	Senecio p	12	control	8	
2800	5	Senecio p	12	outcrossing	27	
2800	5	Senecio p	13	autogamy	0	27 tiny
2800	5	Senecio p	13	autogamy	0	30 tiny
2800	5	Senecio p	13	geitonogamy	1	27 tiny
2800	5	Senecio p	13	outcrossing	6	
2800	5	Senecio p	13	control	7	
2800	5	Senecio p	13	control	9	
2800	5	Senecio p	13	outcrossing	27	
2800	6	Senecio p	14	control	2	broken off plant
2800	6	Senecio p	14	outcrossing	7	
2800	6	Senecio p	15	autogamy	0	32 tiny
2800	6	Senecio p	15	geitonogamy	3	39 tiny green
2800	6	Senecio p	15	outcrossing	32	
2800	6	Senecio p	16	control	16	
2800	6	Senecio p	16	geitonogamy	20	
2800	6	Senecio p	16	outcrossing	46	
2800	7	Senecio p	17	geitonogamy	0	interesting small, check bag
2800	7	Senecio p	17	autogamy	0	30 thin green
2800	7	Senecio p	17	control	17	
2800	7	Senecio p	17	outcrossing	35	
2800	7	Senecio p	18	autogamy	0	many tiny
2800	7	Senecio p	18	control	13	
2800	7	Senecio p	18	outcrossing	26	
2800	1	Senecio p	2	autogamy	0	31 tiny
2800	1	Senecio p	2	control	15	
2800	1	Senecio p	2	outcrossing	16	
2800	1	Senecio p	2	outcrossing	17	
2800	9	Senecio p	2	autogamy	34	
2800	7	Senecio p	20	autogamy	0	34 tiny green
2800	7	Senecio p	20	control	8	
2800	7	Senecio p	20	outcrossing	25	
2800	7	Senecio p	20	outcrossing	33	
2800	8	Senecio p	21	geitonogamy	7	
2800	12	Senecio p	21	control	23	
2800	8	Senecio p	21	control	27	
2800	8	Senecio p	22	autogamy	1	
2800	8	Senecio p	23	autogamy	0	small green
2800	8	Senecio p	23	geitonogamy	6	28 tiny green
2800	8	Senecio p	23	outcrossing	28	
2800	9	Senecio p	24	autogamy	0	2 small, check bag
2800	9	Senecio p	24	autogamy	0	34 tiny
2800	9	Senecio p	24	geitonogamy	6	but smaller, check bag
2800	9	Senecio p	24	outcrossing	24	
2800	4	Senecio p	24	control	32	
2800	9	Senecio p	24	control	44	
2800	9	Senecio p	25	autogamy	2	35 tiny
2800	9	Senecio p	25	control	24	
2800	9	Senecio p	25	outcrossing	25	
2800	10	Senecio p	27	autogamy	0	31 thin green
2800	10	Senecio p	27	autogamy	0	32 tiny
2800	10	Senecio p	27	control	5	
2800	10	Senecio p	27	control	7	
2800	10	Senecio p	27	outcrossing	15	
2800	10	Senecio p	28	geitonogamy	0	
2800	10	Senecio p	28	autogamy	0	many tiny, a bit purple!
2800	10	Senecio p	28	control	1	19 thin green
2800	10	Senecio p	28	outcrossing	13	
2800	11	Senecio p	29	autogamy	1	rest small green
2800	4	Senecio p	29	autogamy	3	
2800	11	Senecio p	29	control	14	
2800	11	Senecio p	29	geitonogamy	31	
2800	10	Senecio p	29	geitonogamy	33	
2800	11	Senecio p	29	outcrossing	34	
2800	2	Senecio p	3	geitonogamy	0	31 tiny
2800	2	Senecio p	3	autogamy	0	manybtiny
2800	2	Senecio p	3	autogamy	1	
2800	2	Senecio p	3	geitonogamy	5	
2800	2	Senecio p	3	control	31	
2800	12	Senecio p	30	geitonogamy	0	
2800	12	Senecio p	30	autogamy	0	28 tiny
2800	1?	Senecio p	30	geitonogamy	3	plot number might be wrong
2800	12	Senecio p	30	control	20	
2800	12	Senecio p	31	autogamy	1	
2800	13	Senecio p	32	geitonogamy	0	small green
2800	13	Senecio p	32	autogamy	0	33 thin green
2800	13	Senecio p	32	control	0	
2800	13	Senecio p	32	autogamy	0	36 tiny
2800	13	Senecio p	32	outcrossing	41	renamed to 32
2800	3	Senecio p	4	geitonogamy	0	21 tiny green
2800	3	Senecio p	4	control	8	
2800	3	Senecio p	4	outcrossing	24	
2800	3	Senecio p	4	control	38	
2800	3	Senecio p	5	autogamy	0	
2800	3	Senecio p	5	autogamy	1	many tiny green
2800	3	Senecio p	5	control	35	
2800	3	Senecio p	50	control	31	renamed to 50, since it didn't have plant number
2800	/	Senecio p	51	outcrossing	28	renamed to 51, since it didn't have plant number
2800	3	Senecio p	52	control	28	renamed to 52 since it didn’t have number
2800	4	Senecio p	6	geitonogamy	0	24 tiny
2800	4	Senecio p	6	outcrossing	13	
2800	4	Senecio p	6	control	14	
2800	4	Senecio p	6	control	21	
2800	3	Senecio p	65	geitonogamy	6	renamed to 65 because it didn’t have number
2800	3	Senecio p	66	outcrossing	34	rename to 66 since didn’t have number
2800	4	Senecio p	7	geitonogamy	11	
2800	4	Senecio p	7	control	25	not sure if I should count them, check bag
2800	4	Senecio p	8	geitonogamy	1	23 tiny
2800	4	Senecio p	8	control	14	
2800	4	Senecio p	8	outcrossing	30	
2800	4	Senecio p	9	autogamy	0	31 tiny green
2800	4	Senecio p	9	autogamy	2	
2800	4	Senecio p	9	control	20	
2800	4	Senecio p	9	control	23	
3500	1	Senecio p	1	control	0	
3500	4	Senecio p	11	autogamy	0	30 tiny green
3500	4	Senecio p	11	outcrossing	28	
3500	4	Senecio p	11	outcrossing	43	
3500	4	Senecio p	12	control	0	
3500	4	Senecio p	12	autogamy	0	many tiny
3500	4	Senecio p	12	geitonogamy	4	40 tiny green
3500	4	Senecio p	13	geitonogamy	0	literally no seeds but small balls, check bag
3500	4	Senecio p	13	autogamy	0	34 tiny
3500	5	Senecio p	13	outcrossing	1	rest small green
3500	4	Senecio p	13	outcrossing	39	
3500	4	Senecio p	14	outcrossing	6	14 almost
3500	4	Senecio p	14	control	6	26 maybe, more not done, check bag
3500	4	Senecio p	15	geitonogamy	17	probably, less green than full ones, check bag
3500	5	Senecio p	16	control	22	
3500	1	Senecio p	2	geitonogamy	0	39 tiny green
3500	1	Senecio p	2	outcrossing	13	
3500	1	Senecio p	2	outcrossing	27	
3500	5	Senecio p	20	autogamy	0	41 thin green
3500	5	Senecio p	20	geitonogamy	1	
3500	4	Senecio p	21	geitonogamy	0	38 tiny
3500	1	Senecio p	3	autogamy	0	42 tiny green, broken off plant
3500	1	Senecio p	4	geitonogamy	0	42 tiny
3500	2	Senecio p	5	geitonogamy	0	
3500	2	Senecio p	5	autogamy	0	small green, check bag
3500	2	Senecio p	7	control	8	
3500	3	Senecio p	8	control	0	small green
4000	1	Senecio p	1	autogamy	0	many tiny
4000	1	Senecio p	1	control	0	many tiny
4000	1	Senecio p	1	autogamy	0	many tiny
4000	1	Senecio p	1	outcrossing	9	nm
4000	6	Senecio p	10	geitonogamy	0	nm, many tiny
4000	6	Senecio p	10	autogamy	1	nm, many tiny
4000	6	Senecio p	10	control	6	
4000	6	Senecio p	10	outcrossing	16	nm
4000	2	Senecio p	15	outcrossing	0	nm, renamed to 15 to distinguish (originally 1)
4000	2	Senecio p	15	autogamy	0	nm, renamed to 15 to distinguish (originally 1)
4000	2	Senecio p	15	autogamy	0	many tiny, renamed to 15 to distinguish (orig 1)
4000	2	Senecio p	16	outcrossing	0	li, nm, renamed to 16 to distinguish (originally 2)
4000	2	Senecio p	16	control	0	nm, li, renamed to 16 to distinguish (orig 2)
4000	2	Senecio p	16	geitonogamy	0	nm, li, renamed to 16 to distinguish (orig 2)
4000	2	Senecio p	16	autogamy	0	nm, many tiny, renamed to 16 to distinguish (orig 2
4000	2	Senecio p	16	geitonogamy	0	nm, many tiny, renamed to 16 to distinguish (orig 2)
4000	2	Senecio p	16	control	0	nm,li, renamed to 16 to distinguish (orig 2)
