SD.s.ID	functional.group
	
Curculionidaesp.1	Beetle
Curculionidaesp.2	Beetle
Curculionidaesp.3	Beetle
Curculionidaesp.4	Beetle
Curculionidaesp.5	Beetle
Curculionidaesp.6	Beetle
Curculionidaesp.7	Beetle
Curculionidaesp.8	Beetle
Curculionidaesp.9	Beetle
Curculionidaesp.10	Beetle
Curculionidaesp.11	Beetle
Curculionidaesp.12	Beetle
Curculionidaesp.13	Beetle
Elateridaesp.1	Beetle
Elateridaesp.2	Beetle
Elateridaesp.3	Beetle
Elateridaesp.4	Beetle
Elateridaesp.5	Beetle
Chrysomelidaesp.1	Beetle
Chrysomelidaesp.2	Beetle
Chrysomelidaesp.3	Beetle
Chrysomelidaesp.4	Beetle
Chrysomelidaesp.5	Beetle
Chrysomelidaesp.6	Beetle
Chrysomelidaesp.7	Beetle
Chrysomelidaesp.8	Beetle
Chrysomelidaesp.9	Beetle
Chrysomelidaesp.10	Beetle
Chrysomelidaesp.11	Beetle
Chrysomelidaesp.12	Beetle
Chrysomelidaesp.13	Beetle
Chrysomelidaesp.14	Beetle
Chrysomelidaesp.15	Beetle
Chrysomelidaesp.16	Beetle
Chrysomelidaesp.17	Beetle
Chrysomelidaesp.18	Beetle
Chrysomelidaesp.19	Beetle
Chrysomelidaesp.20	Beetle
Cassidinaesp.01	Beetle
Cantharidaesp.02=Cantharidaesp.01	Beetle
Cantharidaesp.02	Beetle
Cantharidaesp.01	Beetle
Cantharidaesp.03	Beetle
Tenebrionidaesp.01	Beetle
Coccinelidaesp.1	Beetle
Coccinelidaesp.2	Beetle
Coccinelidaesp.3	Beetle
Coccinelidaesp.4	Beetle
Coccinelidaesp.5	Beetle
Coccinelidaesp.06	Beetle
Coccinelidaelarvasp.01	Beetle
Scarabeidaesp.1	Beetle
Scarabeidaesp.2	Beetle
Scarabeidaesp.3	Beetle
Scarabeidaesp.4	Beetle
Scarabeidaesp.5	Beetle
Erotylidaesp.1	Beetle
Staphylinidaesp.1	Beetle
Staphylinidaesp.2	Beetle
Staphylinidaesp.3	Beetle
Staphylinidaesp.4	Beetle
Carabidaesp.1	Beetle
Carabidaesp.2	Beetle
Carabidaesp.3	Beetle
Carabidaesp.4	Beetle
Carabidaesp.5	Beetle
Carabidaesp.6	Beetle
Cerambycidaesp.1	Beetle
Cerambycidaesp.2	Beetle
Cerambycidaesp.3	Beetle
Cerambycidaesp.4	Beetle
Cerambycidaesp.5	Beetle
Nitidulidaesp.01=Nitidulidaesp.1	Beetle
Nitidulidaesp.1	Beetle
Nitidulidaesp.01	Beetle
Coleopterasp.01	Beetle
Coleopterasp.02	Beetle
Coleopterasp.03	Beetle
Coleopterasp.04	Beetle
Coleopterasp.07	Beetle
Coleopterasp.05	Beetle
Coleopterasp.06	Beetle
Graptomyzasp.1(blackish)	Hoverfly
Graptomyzasp.4(blackandyellow)	Hoverfly
Graptomyzasp.5(nowingpattern)	Hoverfly
Dolichopodidaesp.2	Other fly
SmallorangeAcalyptratae	Other fly
Dipterasp.09	Other fly
SmallstripedAcalyptratae	Other fly
SmallblackabdomenAcalyptratae	Other fly
SmallorangeAcalyptrataewithwhiteabdomen	Other fly
Dipterasp.15	Other fly
RobustbrownAcalyptratae	Other fly
SmallmetallicAcalyptratae	Other fly
Long-leggedAcalyptratae	Other fly
SmallAcalyptrataewithwhiteabdomenalstripe	Other fly
RedeyedB&WAcalyptratae	Other fly
BigheadedAcalyptrataewithstripedabdomen	Other fly
BigheadedblackAcalyptratae	Other fly
Acalyptrataesp.01	Other fly
RobustmetallicAcalyptratae	Other fly
Brown/whiteAcalyptratae	Other fly
Yellowabdomenfly	Other fly
Pallopteridaesp.1=Tephritoideasp.3dots	Other fly
Pallopteridaesp.1	Other fly
Tephritoideasp.3dots	Other fly
Darkmetallicfly=Calliphoridaesp.2	Other fly
Darkmetallicfly	Other fly
Calliphoridaesp.2	Other fly
Tephritoideasp.1patt+	Other fly
Tephritoideasp.2thick	Other fly
Tephritoideasp.3dots	Other fly
Tephritoideasp.4light	Other fly
Tephritoideasp.5	Other fly
Tephritoideasp.6	Other fly
Tephritoideasp.07	Other fly
Tephritoideasp.8	Other fly
Tephritoideasp.9	Other fly
Tephritoideasp.10	Other fly
Tephritoideasp.25	Other fly
Tephritoideasp.11	Other fly
Tephritoideasp.12	Other fly
Tephritoideasp.13	Other fly
Tephritoideasp.14	Other fly
Tephritoideasp.15	Other fly
Tephritoideasp.16	Other fly
Tephritoideasp.17	Other fly
Tephritoideasp.18	Other fly
Tephritoideasp.19	Other fly
Tephritoideasp.20	Other fly
Tephritoideasp.21	Other fly
Tephritoideasp.22	Other fly
Tephritoideasp.23	Other fly
Tephritoideasp.24	Other fly
Tephritoideasp.26	Other fly
AfrSp1fly=Calliphoridaesp.01	Other fly
AfrSp1fly	Other fly
Calliphoridaesp.01	Other fly
Calyptrataecf.Glossinasp.	Other fly
Stripedthinfly2	Other fly
Robustyellowwingedfly	Other fly
Robustflywithyellowabdomenalband	Other fly
TabVenfly=Calliphoridaesp.03	Other fly
TabVenfly	Other fly
Calliphoridaesp.03	Other fly
Metallicstripedfly=Calliphoridaesp.04	Other fly
Metallicstripedfly	Other fly
Calliphoridaesp.04	Other fly
Calliphoridaesp.07	Other fly
Calliphoridaesp.05	Other fly
StripedSarcophagidae=Bigstripedfly	Other fly
StripedSarcophagidae	Other fly
Bigstripedfly	Other fly
Bigblackandwhitefly	Other fly
Bigblackandwhitefly2	Other fly
Bigblackandwhiteabdomenfly	Other fly
Bigorangeandblackendedabdomenfly	Other fly
Anthomyiasp.02=Anthomiyasp.02=Anthomyiasp.02=Anthomyiasp.2	Other fly
Anthomyiasp.02	Other fly
Anthomiyasp.02	Other fly
Anthomyiasp.02	Other fly
Anthomyiasp.2	Other fly
Calyptrataesp.01	Other fly
Anthomyiasp.03	Other fly
Anthomyiasp.04	Other fly
Orangehairyfly	Other fly
Orange-blackfly	Other fly
Yellowspottedfly=Calliphoridaesp.5	Other fly
Yellowspottedfly	Other fly
Calliphoridaesp.5	Other fly
Bigorangefly	Other fly
Stripedfly	Other fly
Stripedflysp.02=Stripedflywithant	Other fly
Stripedflysp.02	Other fly
Stripedflywithant	Other fly
Stripedthinfly	Other fly
Bluemetallicfly=Stratiomyidaesp.01=Metallicbluefly	Other fly
Bluemetallicfly	Other fly
Stratiomyidaesp.01	Other fly
Metallicbluefly	Other fly
Blackwingfly	Other fly
Tabanidaesp.01	Other fly
Micropezidaesp.01	Other fly
Micropezidaesp.02	Other fly
Smallorangeflywithant.	Other fly
Dolichopodidaesp.03=Tachinidaesp.02=Dolichopodidaesp.01=Tahcinidaesp.2	Other fly
Dolichopodidaesp.03	Other fly
Tachinidaesp.02	Other fly
Dolichopodidaesp.01	Other fly
Tachinidaesp.2	Other fly
Dolichopodidaesp.4=Tachinidaesp.3	Other fly
Dolichopodidaesp.04	Other fly
Tachinidaesp.03	Other fly
Dolichopodidaesp.5=Tachinidaesp.4	Other fly
Dolichopodidaesp.05	Other fly
Tachinidaesp.04	Other fly
Dolichopodidaesp.6=Tachinidaesp.5	Other fly
Dolichopodidaesp.06	Other fly
Tachinidaesp.05	Other fly
Tachinidaesp.06	Other fly
Greyflywithdots=Calyptrataesp.02=Blackflywithdots	Other fly
Greyflywithdots	Other fly
Calyptrataesp.02	Other fly
Blackflywithdots	Other fly
Asilidaesp.01	Other fly
Asilidaesp.02	Other fly
StripedCulicid	Other fly
Diopsidaesp.03	Other fly
Stylogastersp.1=Dolichopodidaesp.1	Other fly
Stylogastersp.01	Other fly
Dolichopodidaesp.01	Other fly
Stylogastersp.02	Hoverfly
Stylogastersp.03	Other fly
Tipulasp.01	Other fly
Tipulidaesp.01	Other fly
Tipulidaesp.02	Other fly
Limoniidaesp.01=Nematocera=smallNematocera	Other fly
Limoniidaesp.01	Other fly
Nematocera	Other fly
smallNematocera	Other fly
Dipterasp.08	Other fly
Dipterasp.16	Other fly
Syrphidaesp.02=Dipterasp.01=Dipterasp.02	Hoverfly
Syrphidaesp.02	Hoverfly
Dipterasp.01	Hoverfly
Dipterasp.02	Hoverfly
Dipterasp.10	Other fly
Dipterasp.03	Other fly
Dipterasp.04	Other fly
Dipterasp.05	Other fly
Dipterasp.07	Other fly
Dipterasp.11	Other fly
Dipterasp.13	Other fly
Syrphidaesp.01	Hoverfly
Syrphidaesp.03	Hoverfly
Dipterasp.18	Other fly
Calyptrataesp.03	Other fly
Melanostomasp.01	Hoverfly
Episyrphussp.	Hoverfly
Syrphidaesp.04	Hoverfly
Brachycerasp.01	Other fly
Brachycerasp.02	Other fly
Blackshinyfly	Other fly
Stratiomyidaesp.02	Other fly
Brachycerasp.03	Other fly
Brachycerasp.03=Stratiomyidaesp.02	Other fly
BrownAmegilla=Long-tonguedanthophorid	Bee
BrownAmegilla	Bee
Long-tonguedanthophorid	Bee
BlackAmegilla	Bee
BluebuttAmegilla	Bee
OrangethoraxAmegilla	Bee
Xylocopasp.01	Bee
Xylocopasp.02	Bee
Bigblackscoliid	Wasp
Bigmetallicscoliid	Wasp
OrangeBelonogaster	Wasp
StripedBelonogaster	Wasp
CollaredBelonogaster	Wasp
BlackandorangePompilid	Wasp
BlackPompilidwithorangewings	Wasp
Bigorangelegwasp	Wasp
Smallblackandyellowwasp	Wasp
Greywaspwithyellowlegs	Wasp
YellowbellyMegachilid	Bee
OrangeabdomenApoidea	Bee
SmallorangeabdomenApoidea=red-buttbee+orangemeliponini	Bee
red-buttbee	Bee
orangemeliponini	Bee
SmallorangeabdomenApoidea	Bee
BlackandyellowApoidea	Bee
BlackspottedApoidea	Bee
StripedApoidea	Bee
Apismellifera	Bee
BigblackandwhiteApoidea	Bee
BlackApoidea	Bee
BlackApoideawithorangeband	Bee
BrownApoideawithorangeband	Bee
Halictidaewithorangeband	Bee
YellowstripedHalictidae	Bee
StripedHalictidae=StripedHalticidae	Bee
StripedHalictidae	Bee
StripedHalticidae	Bee
StripedthinHalictidae	Bee
smallApoidea=smallHalictidae	Bee
smallApoidea	Bee
smallHalictidae	Bee
OrangeTrinchostoma	Bee
BlackTrinchostoma	Bee
StripedTrinchostoma	Bee
Thyreussp.01	Bee
Ichneumonidsp.01	Wasp
Ichneumonidsp.02	Wasp
Ichneumonidsp.03	Wasp
Ichneumonidsp.04	Wasp
Ichneumonidaesp.04	Wasp
Ichneumonidsp.05	Wasp
Ichneumonidsp.06	Wasp
Ichneumonidsp.07	Wasp
Ichneumonidsp.08	Wasp
Ichneumonidsp.09	Wasp
