TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;Sylvain's ID;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;12;09;49;00 08;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;09:49:08;49:08;-2639;09;05;09;05:09;fly;Calliphoridae sp.01;Time of departure to check;Diptera;NA;;7;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;12;09;50;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;09;51;;NA;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;09;52;;NA;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;09;53;;NA;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;09;54;;NA;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;09;55;;00;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;09;56;00 57;00;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;09:56:57;56:57;148;09;59;25;59:25;bee;Apis mellifera;;Hymenoptera;NA;0;13;;;;;1;4;;;1;144;;;;;;;;;1;10;1;10
2021;Nov;12;09;57;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;09;58;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;09;59;00 37;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;09:59:37;59:37;387;10;06;04;06:04;fly;Calliphoridae sp.01;;Diptera;NA;0;12;;;1;90;;;;;1;297;;;;;;;;;1;9;0;0
2021;Nov;12;10;00;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;01;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;02;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;03;;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;12;10;04;00 28;;Clesim4_20211112_10_00;1;Clematis;simenses;4;23;0;;1;10:04:28;04:28;40;10;05;08;05:08;bee;Apis mellifera;;Hymenoptera;NA;0;5;;;;;1;6;;;1;34;;;;;;;;;1;5;1;5
