TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;09;16;26;00 01;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:26:01;26:01;209;16;29;30;29:30;fly;Brachycera;;Diptera;NA;0;2;;;1;50;;;;;1;159;;;;;;;;;1;2;0;
2021;Nov;09;16;26;00 20;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:26:20;26:20;158;16;28;58;28:58;fly;Brachycera;;Diptera;NA;0;1;;;1;38;;;;;1;120;;;;;;;;;1;1;0;
2021;Nov;09;16;26;00 41;NA;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:26:41;26:41;148;16;29;09;29:09;fly;Brachycera;;Diptera;NA;0;1;;;1;38;;;;;1;110;;;;;;;;;1;1;0;
2021;Nov;09;16;26;00 48;NA;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:26:48;26:48;10;16;26;58;26:58;bee;Apis melifera;yes;Hymenoptera;NA;0;1;;;;;;;1;4;1;6;;;;;;;;;1;1;1;1
2021;Nov;09;16;27;;NA;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;28;00 35;NA;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:28:35;28:35;56;16;29;31;29:31;fly;Brachycera;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;29;;00;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;30;;00;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;31;00 00;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:31:00;31:00;05;16;31;05;31:05;fly;Brachycera;;Diptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;32;00 35;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:32:35;32:35;20;16;32;55;32:55;fly;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;33;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;34;00 27;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:34:27;34:27;10;16;34;37;34:37;fly;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;35;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;36;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;37;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;38;00 43;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:38:43;38:43;12;16;38;55;38:55;bee;Apis melifera;yes;Hymenoptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;39;00 52;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:39:52;39:52;88;16;41;20;41:20;fly;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;40;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;41;00 38;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:41:38;41:38;35;16;42;13;42:13;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;42;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;43;00 15;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:43:15;43:15;49;16;44;04;44:04;fly;Brachycera;;Diptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;44;;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;09;16;45;00 31;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:45:31;45:31;10;16;45;41;45:41;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;46;00 24;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:46:24;46:24;14;16;46;38;46:38;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;47;00 50;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:47:50;47:50;12;16;48;02;48:02;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;09;16;48;00 00;;Hyprev0_20211109_17_00;1;Hypericum;revolutum;3;5;0;;1;16:48:00;48:00;04;16;48;04;48:04;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
