TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;14;14;11;;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;14;14;12;00 51;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:12:51;12:51;10;14;13;01;13:01;unknown;small Diptera;;Diptera;NA;;1;;;;;;;;;;;;;;;moves round the petals and out ;;;;0;;0;
2021;Nov;14;14;13;00 48;NA;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:13:48;13:48;27;14;14;15;14:15;fly;Grey fly with dots;yes;Diptera;NA;;1;;;;;;;;;;;;;;;around the petals ;;;;0;;0;
2021;Nov;14;14;14;;NA;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;14;14;15;00 44;NA;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:15:44;15:44;314;14;20;58;20:58;unknown;small Hymenoptera;;Hymenoptera;NA;;1;;;;;;;;;;;;;;;around the petals and base for a while ;;;;0;;0;
2021;Nov;14;14;16;00 41;NA;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:16:41;16:41;92;14;18;13;18:13;unknown;Melanostoma;;Diptera;NA;;1;;;;;;;;;;;;;;;around the petals and the base of flower ;;;;0;;0;
2021;Nov;14;14;17;;00;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;14;14;18;00 10;00;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:18:10;18:10;76;14;19;26;19:26;fly;Brachycera;;Diptera;NA;;1;;;;;;;;;;;;;;;around the petals and the base;;;;0;;0;
2021;Nov;14;14;19;00 18;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:19:18;19:18;314;14;24;32;24:32;unknown tiny isect;small Diptera;;Diptera;NA;;1;;;;;;;;;;;;;;;on petals and out through the sepals ;;;;0;;0;
2021;Nov;14;14;20;;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;14;14;21;;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;14;14;22;;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;14;14;23;00 31;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:23:31;23:31;84;14;24;55;24:55;unknown;Melanostoma;;Diptera;NA;;1;;;;;;;;;;;;;;;on petals ;;;;0;;0;
2021;Nov;14;14;24;00 27;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:24:27;24:27;50;14;25;17;25:17;bee;Apis melifera;yes;Hymenoptera;NA;;2;;;;;;;;;;;;;;;around the petals with focus on the base;;;;0;;0;
2021;Nov;14;14;25;00 19;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:25:19;25:19;02;14;25;21;25:21;bee;Apis melifera;yes;Hymenoptera;NA;;2;;;;;;;;;;;;;;;touches the petals and leaves;;;;0;;0;
2021;Nov;14;14;25;00 22;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:25:22;25:22;76;14;26;38;26:38;unknown;Melanostoma;;Diptera;NA;;1;;;;;;;;;;;;;;;around the petals with focus on the centre ;;;;0;;0;
2021;Nov;14;14;25;00 42;;Hyprev7_20211114_14_00;1;Hypericum;revolutum;7;2;0;;1;14:25:42;25:42;01;14;25;43;25:43;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;on petals and leaves ;;;;0;;0;
