TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;08;12;11;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;12;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;13;;NA;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;14;;NA;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;15;;NA;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;16;;NA;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;17;;00;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;18;;00;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;19;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;20;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;21;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;22;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;23;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;24;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;25;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;26;00 18;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;1;12:26:18;26:18;06;12;26;24;26:24;small fly;Brachycera;;Diptera;NA;0;1;;;1;6;;;;;;;;;;;;;;;1;1;0;
2019;Nov;08;12;27;00 06;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;1;12:27:06;27:06;754;12;39;40;39:40;fly;Brachycera;;Diptera;NA;0;8;;;1;500;;;;;1;254;;;;;;;;;1;5;1;5
2019;Nov;08;12;28;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;29;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;30;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;31;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;32;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;33;00 41;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;1;12:33:41;33:41;37;12;34;18;34:18;fly;Brachycera;;Diptera;NA;0;2;;;1;33;;;;;1;4;;;;;;;;;1;2;0;
2019;Nov;08;12;33;00 51;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;1;12:33:51;33:51;22;12;34;13;34:13;fly;Brachycera;;Diptera;NA;0;2;;;1;22;;;;;;;;;;;;;;;1;2;0;
2019;Nov;08;12;34;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;35;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;36;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;37;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;38;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;39;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;40;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;41;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;42;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;43;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;44;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;45;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;46;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;47;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;48;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;49;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;50;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;51;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;52;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;53;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;08;12;54;;;Clesim1_20191108_13_00;1;Clematis;simense;1;24;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
