TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;16;15;20;00 57;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;1;15:20:57;20:57;46;15;21;43;21:43;fly;Brachycera;;Diptera;NA;0;1;;15;1;46;;;;;;;;;;;;;;;;;;
2019;Nov;16;15;21;;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;16;15;22;;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;16;15;23;;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;16;15;24;;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;16;15;25;;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;16;15;26;;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;16;15;27;00 42;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;1;15:27:42;27:42;05;15;27;47;27:47;fly;Anthomyia sp. 02;yes;Diptera;NA;0;1;;26;1;5;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;16;15;28;;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;16;15;29;;;Clesim5_20191116_15_00;1;Clematis;simensis;5;26;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
