TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;18;10;15;00 16;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;1;10:15:16;15:16;116;10;17;12;17:12;small bee;small Apoidea;;Hymenoptera;NA;0;2;;;1;2;1;3;1;111;;;;;;;;;;;1;2;1;2
2019;Nov;15;10;15;00 37;;Crehyp7_20191115_10_00;1;Crepis;hypochoeridea;7;3;0;;1;;0:37;20;10;15;57;00:57;small bee;small Apoidea;;Hymenoptera;;;2;;;;;1;1;1;19;;;;;;;;;;;1;2;1;2
2019;Nov;18;10;16;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;17;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;18;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;19;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;20;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;21;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;22;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;23;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;24;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;25;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;26;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;27;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;28;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;29;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;30;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;31;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;32;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;33;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;34;00 35;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;1;10:34:35;34:35;28;10;35;03;35:03;small bee;small Apoidea;;Hymenoptera;NA;0;1;;;1;10;;;1;18;;;;;;;;;;;1;1;1;1
2019;Nov;18;10;35;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;36;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;37;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;38;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;39;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;40;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;41;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;42;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;43;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;44;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;45;00 43;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;1;10:45:43;45:43;119;10;47;42;47:42;fly;Brachycera;;Diptera;NA;0;1;;;;;1;119;;;;;;;;;;;;;1;1;1;1
2019;Nov;18;10;46;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;47;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;48;00 23;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;1;10:48:23;48:23;131;10;50;34;50:34;small bee;small Apoidea;;Hymenoptera;NA;0;1;;;;;1;131;;;;;;;;;;;;;1;1;1;1
2019;Nov;18;10;49;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;50;00 13;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;1;10:50:13;50:13;72;10;51;25;51:25;fly;Brachycera;;Diptera;NA;0;1;;;1;72;;;;;;;;;;;;;;;1;1;1;1
2019;Nov;18;10;51;00 55;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;1;10:51:55;51:55;86;10;53;21;53:21;small bee;small Apoidea;;Hymenoptera;NA;0;2;;;1;4;1;82;;;;;;;;;;;;;1;2;1;2
2019;Nov;18;10;52;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;53;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;54;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;55;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;56;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;57;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;58;;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;18;10;59;00 17;;Crehyp7_20191118_10_00;1;Crepis;hypochoeridea;7;3;0;;1;10:59:17;59:17;08;10;59;25;59:25;small bee;small Apoidea;;Hymenoptera;NA;0;1;;;;;1;8;;;;;;;;;;;;;1;1;1;1
2019;Nov;18;11;00;;;Crehyp7_20191118_11_00;1;Crepis;hypochoeridea;7;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
