    ;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;22;10;44;;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;10;45;;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;10;46;;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;10;47;00 19;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;1;10:47:19;47:19;21;10;47;40;47:40;fly;Striped fly with ant;;Diptera;NA;0;3;;;;;;;;;1;21;;;;;flies are one species? Or two..;;;;1;3;1;3
2019;Nov;22;10;47;00 26;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;1;10:47:26;47:26;01;10;47;27;47:27;fly ;Striped fly with ant;;Diptera;NA;0;1;;;;;;;;;1;1;;;;;;;;;1;1;1;1
2019;Nov;22;10;47;00 27;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;1;10:47:27;47:27;01;10;47;28;47:28;fly ;Striped fly with ant;;Diptera;NA;0;1;;;1;1;;;;;; ;;;;;;;;;0;0;0;0
2019;Nov;22;10;48;;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;10;49;;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;22;10;50;;;Lacine12_20191122_10_00;1;Lactuca;inermis;12;3;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
