TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;Sylvain's ID;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;13;15;15;00 58;;Clesim5_20211113_15_00;1;Clematis;simense;5;7;0;;1;15:15:58;15:58;31;15;16;29;16:29;fly;Diptera sp.05;;Diptera;NA;0;1;;;1;31;;;;;;;;;;;walks around petals;;;;0;;0;
2021;Nov;13;15;16;;;Clesim5_20211113_15_00;1;Clematis;simense;5;7;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;17;00 47;NA;Clesim5_20211113_15_00;1;Clematis;simense;5;7;0;;1;15:17:47;17:47;540;15;26;47;26:47;fly;Diptera sp.05;;Diptera;NA;0;1;;;1;540;;;;;;;;;;;walks around petals;;;;0;;0;
2021;Nov;13;15;17;00 56;NA;Clesim5_20211113_15_00;1;Clematis;simense;5;7;0;;1;15:17:56;17:56;02;15;17;58;17:58;fly;Diptera sp.05;;Diptera;NA;0;1;;;1;2;;;;;;;;;;;walks around petals;;;;0;;0;
2021;Nov;13;15;17;00 57;NA;Clesim5_20211113_15_00;1;Clematis;simense;5;7;0;;1;15:17:57;17:57;01;15;17;58;17:58;fly;Diptera sp.05;;Diptera;NA;0;1;;;1;1;;;;;;;;;;;touched petals;;;;0;;0;
2021;Nov;13;15;18;;NA;Clesim5_20211113_15_00;1;Clematis;simense;5;7;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;19;;00;Clesim5_20211113_15_00;1;Clematis;simense;5;7;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;20;;00;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;21;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;22;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;23;00 08;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;1;15:23:08;23:08;05;15;23;13;23:13;fly;Diptera sp.05;;Diptera;NA;;1;;;;;;;;;;;;;;;walks around petals;;;;0;;0;
2021;Nov;13;15;23;00 14;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;1;15:23:14;23:14;82;15;24;36;24:36;fly;Anthomyia sp.02;;Diptera;NA;0;3;;;1;82;;;;;;;;;;;moves to the flower centre;;;;0;;0;
2021;Nov;13;15;23;00 45;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;1;15:23:45;23:45;51;15;24;36;24:36;fly;cannot spot it;times don't fit any visitor;Diptera;NA;0;2;;;1;51;;;;;;;;;;;moved to flower centre;;;;0;;0;
2021;Nov;13;15;24;00 26;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;1;15:24:26;24:26;31;15;24;57;24:57;fly;Diptera sp.10;;Diptera;NA;0;2;;;1;31;;;;;;;;;;;walks around petals;;;;0;;0;
2021;Nov;13;15;25;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;26;00 56;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;1;15:26:56;26:56;03;15;26;59;26:59;fly;Diptera sp.05;;Diptera;NA;;2;;;;;;;;;;;;;;;walks around petals;;;;0;;0;
2021;Nov;13;15;27;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;28;;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;13;15;29;00 38;;Clesim5_20211113_15_00;1;Clematis;simense;5;12;0;;1;15:29:38;29:38;19;15;29;57;29:57;fly;Striped fly;;Diptera;NA;;1;;;;;;;;;;;;;;;walks around petals;;;;0;;0;
