TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;10;17;14;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;15;00 45;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:15:45;15:45;06;17;15;51;15:51;unknown;Diptera sp.05;;Diptera;NA;;1;;;;;;;;;;;;;;;small black thing.;;;;0;;0;
2021;Nov;10;17;15;00 51;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:15:51;15:51;201;17;19;12;19:12;fly;Striped fly;;Diptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;16;00 56;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:16:56;16:56;114;17;18;50;18:50;unknown;unidentified;unidentified;Unknown;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;17;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;18;00 35;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:18:35;18:35;01;17;18;36;18:36;fly;Striped fly;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;19;00 14;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:19:14;19:14;16;17;19;30;19:30;fly;Grey fly with dots;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;20;00 05;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:20:05;20:05;40;17;20;45;20:45;fly;Grey fly with dots;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;20;00 14;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:20:14;20:14;2321;17;58;55;58:55;unknown;unidentified;;Unknown;NA;;1;;;;;;;;;;;;;;;small black thing.;;;;0;;0;
2021;Nov;10;17;20;00 11;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:20:11;20:11;24;17;20;35;20:35;fly;Striped fly;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;21;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;22;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;23;00 03;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:23:03;23:03;23;17;23;26;23:26;bee;Apis melifera;yes;Hymenoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;24;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;25;00 40;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;1;17:25:40;25:40;68;17;26;48;26:48;bee;Apis melifera;yes;Hymenoptera;NA;;3;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;17;26;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;27;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;28;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;29;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;30;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;31;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;32;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;17;33;;;Hyprev4_20211110_17_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
