TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;November;12;09;54;;;Lacine6_20211112_09_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;09;55;;;Lacine6_20211112_09_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;09;56;;NA;Lacine6_20211112_09_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;09;57;;NA;Lacine6_20211112_09_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;09;58;;NA;Lacine6_20211112_09_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;09;59;;NA;Lacine6_20211112_09_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;10;00;;00;Lacine6_20211112_10_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;10;01;;00;Lacine6_20211112_10_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;10;02;;;Lacine6_20211112_10_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;November;12;10;03;;;Lacine6_20211112_10_00;1;Lactuca;inermis;6;1;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
