TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;13;09;53;00 57;;Crehyp4_20191113_09_00;1;Crepis ;hypochoeridea;4;6;0;;1;09:53:57;53:57;188;09;57;05;57:05;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;1;188;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;13;09;54;;;Crehyp4_20191113_09_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;55;;;Crehyp4_20191113_09_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;56;;;Crehyp4_20191113_09_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;57;;;Crehyp4_20191113_09_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;58;;;Crehyp4_20191113_09_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;09;59;;;Crehyp4_20191113_09_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;00;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;01;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;02;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;03;00 05;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;1;10:03:05;03:05;57;10;04;02;04:02;Acalyptratae sp.;small Halictidae;;Hymenoptera;NA;0;2;;;1;56;1;1;;;;;;;;;;;;;;;0;;0;
2019;Nov;13;10;04;00 34;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;1;10:04:34;04:34;38;10;05;12;05:12;Brachycera sp.;Acalyptratae;;Diptera;NA;0;2;;;1;37;1;1;;;;;;;;;;;;;;;0;;0;
2019;Nov;13;10;05;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;06;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;07;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;08;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;09;00 58;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;1;10:09:58;09:58;22;10;10;20;10:20;Acalyptratae sp.;Brachycera;;Diptera;NA;0;2;;;1;21;1;1;;;;;;;;;;;;;;;0;;0;
2019;Nov;13;10;10;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;11;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;12;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;13;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;14;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;15;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;16;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;17;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;18;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;19;00 24;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;1;10:19:24;19:24;06;10;19;30;19:30;Brachycera sp.;Brachycera;;Diptera;NA;0;1;;;1;6;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;13;10;20;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;21;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;22;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;23;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;24;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;25;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;26;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;27;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;28;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;29;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;30;00 13;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;1;10:30:13;30:13;210;10;33;43;33:43;Acalyptratae sp.;small Halictidae;;Hymenoptera;NA;0;1;;;1;210;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;13;10;31;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;10;32;;;Crehyp4_20191113_10_00;1;Crepis ;hypochoeridea;4;6;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
