TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;28;14;42;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;43;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;44;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;45;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;46;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;47;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;48;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;49;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;50;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;51;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;52;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;53;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;54;00 25;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;1;14:54:25;54:25;07;14;54;32;54:32;Brachycera sp.;Anthomyia sp.02;yes;Diptera;NA;0;1;;;1;4;;;1;3;;;;;;;;;;;;;1;1;0;
2019;Nov;28;14;54;00 37;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;1;14:54:37;54:37;124;14;56;41;56:41;Brachycera sp.;Anthomyia sp.02;yes;Diptera;NA;0;1;;;1;69;;;1;55;;;;;;;;;;;;;1;1;0;
2019;Nov;28;14;55;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;56;00 53;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;1;14:56:53;56:53;09;14;57;02;57:02;Brachycera sp.;Anthomyia sp.02;yes;diptera;NA;0;1;;;1;9;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;28;14;57;00 05;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;1;14:57:05;57:05;39;14;57;44;57:44;Brachycera sp.;Anthomyia sp.02;yes;Diptera;NA;0;1;;;1;17;;;1;22;;;;;;;;;;;;;1;1;0;
2019;Nov;28;14;58;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;14;59;;;Gerara7_20191128_14_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;15;00;;;Gerara7_20191128_15_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;15;01;;;Gerara7_20191128_15_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;15;02;;;Gerara7_20191128_15_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;15;03;;;Gerara7_20191128_15_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;28;15;04;;;Gerara7_20191128_15_00;1;Geranium;arabicum;7;5;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
