TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;13;08;21;;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;08;22;00 59;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;1;08:22:59;22:59;76;08;24;15;24:15;fly;Grey fly with dots;yes;Diptera;NA;0;1;;;1;30;;;1;23;1;23;;;;;;;;;1;1;0;
2019;Nov;13;08;23;00 13;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;1;08:23:13;23:13;09;08;23;22;23:22;fly;Brachycera;;Diptera;NA;0;2;;;1;9;;;;;;;;;;;;;;;1;2;0;
2019;Nov;13;08;24;;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#REF!;#REF!;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;13;08;25;00 35;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;1;08:25:35;25:35;22;08;25;57;25:57;fly;Striped fly with ant;yes;Diptera;NA;0;4;;;1;12;;;;;1;10;;;;;moves around petal and flower centre;;;;1;3;0;
2019;Nov;13;08;25;00 54;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;1;08:25:54;25:54;03;08;25;57;25:57;fly;Brachycera;;Diptera;NA;0;1;;;1;3;;;;;;;;;;;walks on petal;;;;0;;0;
2019;Nov;13;08;25;00 54;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;1;08:25:54;25:54;03;08;25;57;25:57;fly;Brachycera;;Diptera;NA;0;1;;;1;3;;;;;;;;;;;walks on petal;;;;0;;0;
2019;Nov;13;08;26;00 54;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;1;08:26:54;26:54;12;08;27;06;27:06;fly;Grey fly with dots;yes;Diptera;NA;0;1;;;1;12;;;;;;;;;;;moves around petal and flower centre;;;;1;1;0;
2019;Nov;13;08;27;00 07;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;1;08:27:07;27:07;113;08;29;00;29:00;fly;Brachycera;;Diptera;NA;0;2;;;1;43;;;;;1;70;;;;;moves around petal and flower centre;;;;1;2;0;
2019;Nov;13;08;27;00 22;;Senbur4_20191113_08_00;1;Senecio;burtoni;4;8;0;;1;08:27:22;27:22;312;08;32;34;32:34;fly;Brachycera;;Diptera;NA;0;3;;;1;112;;;;;1;200;;;;;walks from sepal to flower centre;;;;1;3;0;
