TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;Morphospecies;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Smelling' the flower;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;27;11;33;00 47;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:33:47;33:47;89;11;35;16;35:16;Acalyptratae sp.;Brachycera;;Diptera;NA;0;2;;;1;7;;;1;82;;;;;;;;;;;;;1;2;0;
2019;Nov;27;11;34;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;35;00 25;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:35:25;35:25;13;11;35;38;35:38;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;;;;;1;13;;;;;;;;;;;;;1;1;0;
2019;Nov;27;11;36;00 56;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:36:56;36:56;43;11;37;39;37:39;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;;;;;1;43;;;;;;;;;;;;;1;1;0;
2019;Nov;27;11;37;00 01;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:37:01;37:01;24;11;37;25;37:25;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;;;;;1;24;;;;;;;;;;;;;1;1;0;
2019;Nov;27;11;38;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;39;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;40;00 27;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:40:27;40:27;35;11;41;02;41:02;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;1;3;;;1;32;;;;;;;;;;;;;1;1;0;
2019;Nov;27;11;41;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;42;00 03;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:42:03;42:03;88;11;43;31;43:31;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;1;1;;;1;87;;;;;;;;;;;;;1;1;0;
2019;Nov;27;11;42;00 20;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:42:20;42:20;245;11;46;25;46:25;Acalyptratae sp.;Brachycera;;Diptera;NA;0;3;;;1;9;;;1;236;;;;;;;;;;;;;1;3;0;
2019;Nov;27;11;43;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;44;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;45;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;46;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;47;00 14;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:47:14;47:14;170;11;50;04;50:04;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;1;20;1;2;1;148;;;;;;;;;;;;;1;1;0;
2019;Nov;27;11;48;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;49;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;50;00 18;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:50:18;50:18;30;11;50;48;50:48;Acalyptratae sp.;Brachycera;;Diptera;NA;0;2;;;1;5;;;1;25;;;;;;;;;;;;;1;2;0;
2019;Nov;27;11;51;00 48;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:51:48;51:48;65;11;52;53;52:53;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;1;2;;;1;63;;;;;;;;;;;;;1;1;0;
2019;Nov;27;11;51;00 52;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:51:52;51:52;01;11;51;53;51:53;Acalyptratae sp.;Brachycera;;Diptera;NA;0;1;;;1;1;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;27;11;52;00 44;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:52:44;52:44;97;11;54;21;54:21;Acalyptratae sp.;Brachycera;;Diptera;NA;0;2;;;1;3;;;1;94;;;;;;;;;;;;;1;2;0;
2019;Nov;27;11;53;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;27;11;54;00 29;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;1;11:54:29;54:29;177;11;57;26;57:26;Acalyptratae sp.;Brachycera;;Diptera;NA;0;3;;;;;1;1;1;176;;;;;;;;;;;;;1;3;0;
2019;Nov;27;11;55;;;Senbur15_20191127_11_00;1;Senecio;burtoni;15;15;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;;;
