TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2019;Nov;23;11;30;00 32;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:30:32;30:32;1366;11;53;18;53:18;fly;Anthomyia sp.02;;Diptera;NA;;3;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;30;00 33;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:30:33;30:33;224;11;34;17;34:17;fly;Anthomyia sp.02;;Diptera;NA;;4;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;30;00 36;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:30:36;30:36;519;11;39;15;39:15;fly;Anthomyia sp.02;;Diptera;NA;;4;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;31;00 09;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:31:09;31:09;152;11;33;41;33:41;fly;Anthomyia sp.02;;Diptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;31;00 47;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:31:47;31:47;04;11;31;51;31:51;fly;Anthomyia sp.02;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;31;00 29;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:31:29;31:29;1366;11;54;15;54:15;fly;Striped fly with ant;;Diptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;32;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;33;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;34;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;35;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;36;00 13;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:36:13;36:13;1353;11;58;46;58:46;fly;Striped fly with ant;;Diptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;37;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;38;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;39;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;40;00 39;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:40:39;40:39;203;11;44;02;44:02;fly;Anthomyia sp.02;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;41;00 48;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:41:48;41:48;186;11;44;54;44:54;fly;Anthomyia sp.02;;Diptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;42;00 07;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:42:07;42:07;1660;12;09;47;09:47;fly;Striped fly with ant;;Diptera;NA;;3;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;43;00 12;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:43:12;43:12;423;11;50;15;50:15;fly;Striped fly with ant;;Diptera;NA;;3;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;44;00 12;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:44:12;44:12;282;11;48;54;48:54;fly;Striped fly with ant;;Diptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;45;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;46;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;47;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;48;00 12;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:48:12;48:12;1412;12;11;44;11:44;fly;Striped fly with ant;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;49;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;50;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;51;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;52;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;53;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;54;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;55;00 15;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;1;11:55:15;55:15;1174;12;14;49;14:49;fly;Striped fly with ant;;Diptera;NA;;3;;;;;;;;;;;;;;;;;;;0;;0;
2019;Nov;23;11;56;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2019;Nov;23;11;57;;;SenPur10_20191123_11_00;1;Senecio;Purpureus;10;18;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
