"ID","elevation","species","plant.number","seedset","pl.index"
1,"2300","Senecio p",1,1,0.955223880597015
2,"2300","Senecio p",1,2,0.91044776119403
3,"2300","Senecio p",1,3,0.865671641791045
4,"2300","Senecio p",10,16,0
5,"2300","Senecio p",10,16,0
6,"2300","Senecio p",10,21,0
7,"2300","Senecio p",12,12,0
8,"2300","Senecio p",13,33,0.0833333333333334
9,"2300","Senecio p",14,13,0.133333333333333
10,"2300","Senecio p",15,4,0.849056603773585
11,"2300","Senecio p",16,5,0.827586206896552
12,"2300","Senecio p",17,3,0.903225806451613
13,"2300","Senecio p",17,4,0.870967741935484
14,"2300","Senecio p",2,1,0.964285714285714
15,"2300","Senecio p",2,3,0.892857142857143
16,"2300","Senecio p",2,3,0.892857142857143
17,"2300","Senecio p",2,3,0.892857142857143
18,"2300","Senecio p",3,16,0.0588235294117647
19,"2300","Senecio p",4,3,0.8125
20,"2300","Senecio p",4,15,0.0625
21,"2300","Senecio p",6,0,1
22,"2300","Senecio p",7,16,0.190361445783133
23,"2300","Senecio p",7,29,0
24,"2300","Senecio p",8,22,0
25,"2300","Senecio p",8,26,0
26,"2300","Senecio p",9,8,0.68
27,"2300","Senecio p",9,13,0.48
28,"2300","Senecio p",9,22,0.12
29,"2800","Senecio p",1,32,0
30,"2800","Senecio p",10,0,1
31,"2800","Senecio p",11,29,0
32,"2800","Senecio p",12,8,0.703703703703704
33,"2800","Senecio p",13,7,0.575757575757576
34,"2800","Senecio p",13,9,0.454545454545455
35,"2800","Senecio p",14,2,0.714285714285714
36,"2800","Senecio p",16,16,0.652173913043478
37,"2800","Senecio p",17,17,0.514285714285714
38,"2800","Senecio p",18,13,0.5
39,"2800","Senecio p",2,15,0.0909090909090909
40,"2800","Senecio p",20,8,0.724137931034483
41,"2800","Senecio p",21,23,0.0921052631578947
42,"2800","Senecio p",21,27,0
43,"2800","Senecio p",24,32,0
44,"2800","Senecio p",24,44,0
45,"2800","Senecio p",25,24,0.04
46,"2800","Senecio p",27,5,0.666666666666667
47,"2800","Senecio p",27,7,0.533333333333333
48,"2800","Senecio p",28,1,0.923076923076923
49,"2800","Senecio p",29,14,0.588235294117647
50,"2800","Senecio p",3,31,0
51,"2800","Senecio p",30,20,0.210526315789474
52,"2800","Senecio p",32,0,1
53,"2800","Senecio p",4,8,0.666666666666667
54,"2800","Senecio p",4,38,0
55,"2800","Senecio p",5,35,0
56,"2800","Senecio p",50,31,0
57,"2800","Senecio p",52,28,0
58,"2800","Senecio p",6,14,0
59,"2800","Senecio p",6,21,0
60,"2800","Senecio p",7,25,0.013157894736842
61,"2800","Senecio p",8,14,0.533333333333333
62,"2800","Senecio p",9,20,0.210526315789474
63,"2800","Senecio p",9,23,0.0921052631578947
64,"3500","Senecio p",1,0,1
65,"3500","Senecio p",12,0,1
66,"3500","Senecio p",14,6,0
67,"3500","Senecio p",16,22,0.019108280254777
68,"3500","Senecio p",7,8,0.643312101910828
69,"3500","Senecio p",8,0,1
70,"4000","Senecio p",1,0,1
71,"4000","Senecio p",10,6,0.625
