"ID","elevation","species","plant.number","ao.index","ao.index.trans"
1,"2300","Senecio p",1,0,0
2,"2300","Senecio p",1,0.0895522388059702,9
3,"2300","Senecio p",10,1.68421052631579,168
4,"2300","Senecio p",11,0.176470588235294,18
5,"2300","Senecio p",12,3,300
6,"2300","Senecio p",13,0.194444444444444,19
7,"2300","Senecio p",15,0.0754716981132075,8
8,"2300","Senecio p",16,0.137931034482759,14
9,"2300","Senecio p",17,0.032258064516129,3
10,"2300","Senecio p",2,0.0357142857142857,4
11,"2300","Senecio p",2,0.0714285714285714,7
12,"2300","Senecio p",4,0.0625,6
13,"2300","Senecio p",4,0.0625,6
14,"2300","Senecio p",50,0.253012048192771,25
15,"2300","Senecio p",6,0,0
16,"2300","Senecio p",6,0,0
17,"2300","Senecio p",7,0.0506024096385542,5
18,"2300","Senecio p",8,0.607228915662651,61
19,"2300","Senecio p",9,0,0
20,"2300","Senecio p",9,0.32,32
1,"2800","Senecio p",1,0,0
2,"2800","Senecio p",1,0.136363636363636,14
3,"2800","Senecio p",10,0,0
4,"2800","Senecio p",11,0.103448275862069,10
5,"2800","Senecio p",12,0,0
6,"2800","Senecio p",13,0.0606060606060606,6
7,"2800","Senecio p",15,0.09375,9
8,"2800","Senecio p",16,0.434782608695652,43
9,"2800","Senecio p",17,0,0
10,"2800","Senecio p",21,0.276315789473684,28
11,"2800","Senecio p",23,0.214285714285714,21
12,"2800","Senecio p",24,0.25,25
13,"2800","Senecio p",28,0,0
14,"2800","Senecio p",29,0.911764705882353,91
15,"2800","Senecio p",29,0.970588235294118,97
16,"2800","Senecio p",3,0,0
17,"2800","Senecio p",3,0.197368421052632,20
18,"2800","Senecio p",30,0,0
19,"2800","Senecio p",30,0.118421052631579,12
20,"2800","Senecio p",32,0,0
21,"2800","Senecio p",4,0,0
22,"2800","Senecio p",6,0,0
23,"2800","Senecio p",65,0.236842105263158,24
24,"2800","Senecio p",7,0.434210526315789,43
25,"2800","Senecio p",8,0.0333333333333333,3
1,"3500","Senecio p",12,0.178343949044586,18
2,"3500","Senecio p",13,0,0
3,"3500","Senecio p",15,0.75796178343949,76
4,"3500","Senecio p",2,0,0
5,"3500","Senecio p",20,0.0445859872611465,4
6,"3500","Senecio p",21,0,0
7,"3500","Senecio p",4,0,0
8,"3500","Senecio p",5,0,0
1,"4000","Senecio p",10,0,0
2,"4000","Senecio p",16,0,0
3,"4000","Senecio p",16,0,0
4,"4000","Senecio p",17,0,0
5,"4000","Senecio p",17,0,0
6,"4000","Senecio p",18,0,0
7,"4000","Senecio p",19,0.382608695652174,38
8,"4000","Senecio p",21,0,0
9,"4000","Senecio p",23,0.266666666666667,27
10,"4000","Senecio p",24,0,0
11,"4000","Senecio p",25,0,0
12,"4000","Senecio p",26,2,200
13,"4000","Senecio p",27,0,0
14,"4000","Senecio p",27,0,0
15,"4000","Senecio p",28,0,0
16,"4000","Senecio p",29,0,0
17,"4000","Senecio p",3,0,0
18,"4000","Senecio p",30,0,0
19,"4000","Senecio p",31,0,0
20,"4000","Senecio p",32,0,0
