"plant.code","species","elevation","total.visitor.count","morpho.visitor.count","visitors.per.minute","morpho.per.minute","total.morpho","total.func","most.common.func.morpho","proportion.most.common.visitor","proportion.most.common.morpho","proportion.most.common.func"
"2300arabicum1","Geranium a",2300,145,25,0.0250043110881186,0.00431108811864114,8,3,"Bee",0.0758620689655172,0.0758620689655172,0.137931034482759
"2300arabicum2","Geranium a",2300,56,28,0.0146137787056367,0.00730688935281837,9,5,"Bee",0.160714285714286,0.160714285714286,0.303571428571429
"2300arabicum3","Geranium a",2300,23,20,0.00878868933893772,0.00764233855559801,6,2,"Other fly",0.434782608695652,0.434782608695652,0.956521739130435
"2300arabicum4","Geranium a",2300,9,5,0.003125,0.00173611111111111,4,4,"Other fly",0.222222222222222,0.222222222222222,0.666666666666667
"2300arabicum6","Geranium a",2300,82,44,0.0355594102341717,0.0190806591500434,9,5,"Other fly",0.378048780487805,0.378048780487805,0.817073170731707
"2300arabicum7","Geranium a",2300,88,53,0.0156388839523725,0.00941887328949707,12,5,"Other fly",0.147727272727273,0.147727272727273,0.659090909090909
"2300arabicum8","Geranium a",2300,509,265,0.077781173594132,0.0404951100244499,20,4,"Other fly",0.359528487229862,0.359528487229862,0.950884086444008
"2300inermis1","Lactuca i",2300,1,1,0.0028735632183908,0.0028735632183908,1,1,"Other fly",1,1,1
"2300inermis2","Lactuca i",2300,12,0,0.0171673819742489,0,0,1,"Bee",0,0,1
"2300inermis3","Lactuca i",2300,26,0,0.0165079365079365,0,0,3,"Bee",0,0,0.884615384615385
"2300inermis4","Lactuca i",2300,20,6,0.0294985250737463,0.00884955752212389,3,3,"Other fly",0,0,0.3
"2300inermis5","Lactuca i",2300,10,5,0.0109769484083425,0.00548847420417124,2,2,"Bee",0.3,0.3,0.7
"2300inermis6","Lactuca i",2300,3,3,0.0111111111111111,0.0111111111111111,1,1,"Other fly",1,1,1
"2300inermis7","Lactuca i",2300,7,4,0.00746268656716418,0.00426439232409382,2,2,"Other fly",0.428571428571429,0.428571428571429,0.857142857142857
"2300revolutum1","Hypericum r",2300,218,160,0.0805319541928334,0.0591060214259328,17,8,"Bee",0.458715596330275,0.458715596330275,0.522935779816514
"2300revolutum2","Hypericum r",2300,241,172,0.0950315457413249,0.0678233438485804,12,6,"Bee",0.377593360995851,0.377593360995851,0.45643153526971
"2300revolutum3","Hypericum r",2300,158,59,0.0275357267340537,0.0102823283373998,9,5,"Bee",0.221518987341772,0.221518987341772,0.221518987341772
"2300revolutum4","Hypericum r",2300,442,377,0.0750424448217318,0.0640067911714771,27,6,"Bee",0.556561085972851,0.556561085972851,0.556561085972851
"2300revolutum5","Hypericum r",2300,335,156,0.058038808038808,0.027027027027027,15,6,"Moth",0.155223880597015,0.155223880597015,0.37910447761194
"2300revolutum6","Hypericum r",2300,163,122,0.100555212831585,0.0752621838371376,11,5,"Bee",0.447852760736196,0.447852760736196,0.552147239263804
"2300revolutum7","Hypericum r",2300,236,118,0.0818875780707842,0.0409437890353921,10,7,"Moth",0.165254237288136,0.165254237288136,0.266949152542373
"2300simensis1","Clematis s",2300,16,12,0.000463284688441047,0.000347463516330785,2,3,"Bee",0.5625,0.5625,0.5625
"2300simensis2","Clematis s",2300,36,28,0.00137028014616322,0.00106577344701583,13,5,"Hoverfly",0.361111111111111,0.361111111111111,0.361111111111111
"2300simensis3","Clematis s",2300,69,56,0.00148269119195479,0.00120334357607925,15,6,"Other fly",0.405797101449275,0.405797101449275,0.710144927536232
"2300simensis4","Clematis s",2300,135,123,0.00399834142874067,0.0036429333017415,14,4,"Bee",0.62962962962963,0.62962962962963,0.644444444444444
"2300simensis5","Clematis s",2300,123,95,0.00701134355583424,0.00541526534800205,18,6,"Other fly",0.32520325203252,0.32520325203252,0.67479674796748
"2300simensis6","Clematis s",2300,57,18,0.00197779319916725,0.000624566273421235,11,5,"Beetle",0.0701754385964912,0.0701754385964912,0
"2300simensis7","Clematis s",2300,151,79,0.00646404109589041,0.00338184931506849,11,6,"Other fly",0.317880794701987,0.317880794701987,0.841059602649007
"2800arabicum1","Geranium a",2800,19,11,0.0030096626009821,0.00174243624267385,4,2,"Other fly",0.421052631578947,0.421052631578947,0.842105263157895
"2800arabicum2","Geranium a",2800,1,0,0.000578034682080925,0,0,1,"Bee",0,0,1
"2800arabicum3","Geranium a",2800,122,97,0.0260683760683761,0.0207264957264957,5,2,"Other fly",0.39344262295082,0.39344262295082,0.852459016393443
"2800arabicum4","Geranium a",2800,29,20,0.0186976144422953,0.0128949065119278,4,2,"Other fly",0.413793103448276,0.413793103448276,0.931034482758621
"2800arabicum5","Geranium a",2800,186,91,0.0503382949932341,0.0246278755074425,3,4,"Other fly",0.397849462365591,0.397849462365591,0.844086021505376
"2800arabicum6","Geranium a",2800,50,14,0.0115982370679657,0.00324750637903039,3,2,"Other fly",0.16,0.16,0.78
"2800arabicum7","Geranium a",2800,43,35,0.0185504745470233,0.0150992234685073,3,2,"Other fly",0.558139534883721,0.558139534883721,0.674418604651163
"2800burtonii1","Senecio b",2800,159,41,0.00969157625259051,0.00249908570035353,3,5,"Other fly",0.188679245283019,0.188679245283019,0.817610062893082
"2800burtonii2","Senecio b",2800,177,28,0.0503412969283276,0.00796359499431172,4,3,"Other fly",0.0677966101694915,0.0677966101694915,0.943502824858757
