"ID","elevation","species","plant.number","ao.index","ao.index.trans"
1,"2300","Senecio p",1,0,0
2,"2300","Senecio p",1,0,0
3,"2300","Senecio p",10,0,0
4,"2300","Senecio p",10,0.315789473684211,32
5,"2300","Senecio p",11,0.0588235294117647,6
6,"2300","Senecio p",11,0.235294117647059,24
7,"2300","Senecio p",12,0,0
8,"2300","Senecio p",13,0.0277777777777778,3
9,"2300","Senecio p",14,0,0
10,"2300","Senecio p",15,0,0
11,"2300","Senecio p",15,0,0
12,"2300","Senecio p",16,0,0
13,"2300","Senecio p",17,0,0
14,"2300","Senecio p",2,0,0
15,"2300","Senecio p",2,0,0
16,"2300","Senecio p",2,0,0
17,"2300","Senecio p",3,0.117647058823529,12
18,"2300","Senecio p",4,0,0
19,"2300","Senecio p",5,0,0
20,"2300","Senecio p",6,0,0
21,"2300","Senecio p",6,0,0
22,"2300","Senecio p",7,0,0
23,"2300","Senecio p",8,0.0506024096385542,5
24,"2300","Senecio p",9,0,0
25,"2300","Senecio p",9,0.08,8
1,"2800","Senecio p",1,0,0
2,"2800","Senecio p",10,0,0
3,"2800","Senecio p",11,0,0
4,"2800","Senecio p",13,0,0
5,"2800","Senecio p",13,0,0
6,"2800","Senecio p",15,0,0
7,"2800","Senecio p",17,0,0
8,"2800","Senecio p",18,0,0
9,"2800","Senecio p",2,0,0
10,"2800","Senecio p",2,2.06060606060606,206
11,"2800","Senecio p",20,0,0
12,"2800","Senecio p",22,0.0394736842105263,4
13,"2800","Senecio p",23,0,0
14,"2800","Senecio p",24,0,0
15,"2800","Senecio p",24,0,0
16,"2800","Senecio p",25,0.08,8
17,"2800","Senecio p",27,0,0
18,"2800","Senecio p",27,0,0
19,"2800","Senecio p",28,0,0
20,"2800","Senecio p",29,0.0294117647058824,3
21,"2800","Senecio p",29,0.0882352941176471,9
22,"2800","Senecio p",3,0,0
23,"2800","Senecio p",3,0.0394736842105263,4
24,"2800","Senecio p",30,0,0
25,"2800","Senecio p",31,0.0394736842105263,4
26,"2800","Senecio p",32,0,0
27,"2800","Senecio p",32,0,0
28,"2800","Senecio p",5,0,0
29,"2800","Senecio p",5,0.0394736842105263,4
30,"2800","Senecio p",9,0,0
31,"2800","Senecio p",9,0.0789473684210526,8
1,"3500","Senecio p",11,0,0
2,"3500","Senecio p",12,0,0
3,"3500","Senecio p",13,0,0
4,"3500","Senecio p",20,0,0
5,"3500","Senecio p",3,0,0
6,"3500","Senecio p",5,0,0
1,"4000","Senecio p",1,0,0
2,"4000","Senecio p",1,0,0
3,"4000","Senecio p",10,0.0625,6
4,"4000","Senecio p",15,0,0
5,"4000","Senecio p",15,0,0
6,"4000","Senecio p",16,0,0
7,"4000","Senecio p",17,0,0
8,"4000","Senecio p",17,0,0
9,"4000","Senecio p",18,0,0
10,"4000","Senecio p",2,0,0
11,"4000","Senecio p",20,0,0
12,"4000","Senecio p",22,0,0
13,"4000","Senecio p",23,0,0
14,"4000","Senecio p",23,0,0
15,"4000","Senecio p",24,0,0
16,"4000","Senecio p",24,0,0
17,"4000","Senecio p",25,0,0
18,"4000","Senecio p",26,0,0
19,"4000","Senecio p",27,0,0
20,"4000","Senecio p",28,0,0
21,"4000","Senecio p",29,0,0
22,"4000","Senecio p",3,0,0
23,"4000","Senecio p",30,0,0
24,"4000","Senecio p",31,0.191304347826087,19
25,"4000","Senecio p",32,0,0
26,"4000","Senecio p",34,0,0
27,"4000","Senecio p",35,0,0
28,"4000","Senecio p",36,0,0
29,"4000","Senecio p",39,0,0
30,"4000","Senecio p",40,0,0
31,"4000","Senecio p",5,0,0
32,"4000","Senecio p",5,0,0
33,"4000","Senecio p",52,0,0
34,"4000","Senecio p",53,0,0
35,"4000","Senecio p",6,0,0
36,"4000","Senecio p",7,0,0
37,"4000","Senecio p",8,0,0
38,"4000","Senecio p",9,0,0
1,"2800","Crepis h",1,1.25714285714286,126
2,"2800","Crepis h",1,1.27142857142857,127
3,"2800","Crepis h",2,0,0
4,"2800","Crepis h",3,1.17287234042553,117
5,"2800","Crepis h",4,1.04347826086957,104
6,"2800","Crepis h",5,0,0
7,"2800","Crepis h",6,1.00531914893617,101
8,"2800","Crepis h",8,0,0
9,"2800","Crepis h",8,0,0
1,"3500","Crepis h",55,1.16883116883117,117
2,"3500","Crepis h",58,0.930735930735931,93
3,"3500","Crepis h",7,0.909090909090909,91
4,"3500","Crepis h",9,0.714285714285714,71
1,"4000","Crepis h",10,0.486486486486487,49
2,"4000","Crepis h",12,0.601272534464475,60
3,"4000","Crepis h",16,0.289501590668081,29
4,"4000","Crepis h",17,0,0
5,"4000","Crepis h",18,0,0
6,"4000","Crepis h",2,0,0
7,"4000","Crepis h",25,0.142857142857143,14
8,"4000","Crepis h",34,0.0668080593849417,7
9,"4000","Crepis h",36,0,0
10,"4000","Crepis h",39,0.222693531283139,22
11,"4000","Crepis h",6,1.23333333333333,123
12,"4000","Crepis h",7,0.0526315789473684,5
13,"4000","Crepis h",7,1.01754385964912,102
14,"4000","Crepis h",8,0.311770943796394,31
1,"2300","Clematis s",1,0,0
2,"2300","Clematis s",1,0,0
